AOR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
0.74,0.74 (0.71-0.77),0.71,0.77,,"69.6% (4,672)","79.3% (5,323)",,"","Overall (n = 6,712/cohort)"
0.75,0.75 (0.72-0.79),0.72,0.79,,"70.9% (3,519)","79.8% (3,961)",,"","Women (n = 4,962/cohort)"
0.64,0.64 (0.58-0.70),0.58,0.70,,"66.3% (894)","80.7% (1,088)",,"","Men (n = 1,348/cohort)"
0.82,0.82 (0.76-0.88),0.76,0.88,,"68.8% (1,434)","75.6% (1,575)",,"","age <= 45 years (n = 2,084/cohort)"
0.73,0.73 (0.69-0.77),0.69,0.77,,"69.5% (2,238)","79.5% (2,560)",,"","age 46-64 years (n = 3,220/cohort)"
0.66,0.66 (0.61-0.72),0.61,0.72,,"71.9% (1,010)","84.2% (1,182)",,"","age >=65 years (n = 1,404/cohort)"
0.81,0.81 (0.71-0.91),0.71,0.91,,"65.7% (501)","72.9% (556)",,"","Black (n = 763/cohort)"
0.72,0.72 (0.69-0.75),0.69,0.75,,"71.3% (3,463)","81.0% (3,936)",,"","White (n = 4,857/cohort)"
0.76,0.76 (0.72-0.81),0.72,0.81,,"68.7% (2,316)","78.1% (2,631)",,"","No T2DM (n = 3,369/cohort)"
0.70,0.70 (0.66-0.74),0.66,0.74,,"71.4% (2,334)","80.8% (2,644)",,"","T2DM (n = 3,271/cohort)"
