AOR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
0.73,0.73 (0.57-0.93),0.57,0.93,,"1.6% (109)","2.3% (152)",,"","Overall (n = 6,712/cohort)"
0.79,0.79 (0.58-1.07),0.58,1.07,,"1.5% (73)","1.9% (95)",,"","Women (n = 4,962/cohort)"
0.62,0.62 (0.38-1.01),0.38,1.01,,"1.9% (25)","3.0% (31)",,"","Men (n = 1,348/cohort)"
0.82,0.82 (0.58-1.16),0.58,1.16,,"2.8% (58)","3.5% (73)",,"","age <= 45 years (n = 2,084/cohort)"
0.73,0.73 (0.48-1.13),0.48,1.13,,"1.1% (36)","1.6% (50)",,"","age 46-64 years (n = 3,220/cohort)"
1.37,1.37 (0.63-2.99),0.63,2.99,,"1.07% (15)","0.78% (11)",,"","age >=65 years (n = 1,404/cohort)"
0.44,0.44 (0.21-0.92),0.21,0.92,,"<1.3% (<10)","3.0% (23)",,"","Black (n = 763/cohort)"
0.79,0.79 (0.59-1.06),0.59,1.06,,"1.6% (77)","2.1% (100)",,"","White (n = 4,857/cohort)"
0.66,0.66 (0.45-0.98),0.45,0.98,,"1.2% (42)","2.0% (66)",,"","No T2DM (n = 3,369/cohort)"
0.76,0.76 (0.55-1.05),0.55,1.05,,"2.0% (66)","2.7% (87)",,"","T2DM (n = 3,271/cohort)"
